Flattened layer size is 6400
Flattened layer size is 6400
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1           [-1, 32, 84, 84]           1,184
              ReLU-2           [-1, 32, 84, 84]               0
         MaxPool2d-3           [-1, 32, 42, 42]               0
            Conv2d-4           [-1, 64, 42, 42]          18,496
              ReLU-5           [-1, 64, 42, 42]               0
         MaxPool2d-6           [-1, 64, 21, 21]               0
            Conv2d-7           [-1, 64, 21, 21]          36,928
              ReLU-8           [-1, 64, 21, 21]               0
         MaxPool2d-9           [-1, 64, 10, 10]               0
          Flatten-10                 [-1, 6400]               0
           Linear-11                  [-1, 512]       3,277,312
             ReLU-12                  [-1, 512]               0
           Linear-13                    [-1, 4]           2,052
           Linear-14                  [-1, 512]       3,277,312
             ReLU-15                  [-1, 512]               0
           Linear-16                    [-1, 1]             513
================================================================
Total params: 6,613,797
Trainable params: 6,613,797
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.11
Forward/backward pass size (MB): 6.36
Params size (MB): 25.23
Estimated Total Size (MB): 31.70
----------------------------------------------------------------
None
Flattened layer size is 6400
Flattened layer size is 6400
Using CUDA: True

Collecting data without training on step 100
Collecting data without training on step 200
Collecting data without training on step 300
Episode 10 | Step 1847 | Exploration rate 0.99         | Mean Reward 1.3         | Max Reward 4.0
Episode 20 | Step 3482 | Exploration rate 0.98         | Mean Reward 0.7         | Max Reward 3.0
Episode 30 | Step 5290 | Exploration rate 0.97         | Mean Reward 1.3         | Max Reward 5.0
Episode 40 | Step 6959 | Exploration rate 0.97         | Mean Reward 0.8         | Max Reward 2.0
Episode 50 | Step 8847 | Exploration rate 0.96         | Mean Reward 1.3         | Max Reward 3.0
Episode 60 | Step 10917 | Exploration rate 0.95         | Mean Reward 1.8         | Max Reward 3.0
Episode 70 | Step 12711 | Exploration rate 0.94         | Mean Reward 1.3         | Max Reward 4.0
Episode 80 | Step 14676 | Exploration rate 0.93         | Mean Reward 1.4         | Max Reward 3.0
Episode 90 | Step 16420 | Exploration rate 0.92         | Mean Reward 1.0         | Max Reward 2.0
Episode 100 | Step 18247 | Exploration rate 0.91         | Mean Reward 1.2         | Max Reward 4.0
Episode 110 | Step 20042 | Exploration rate 0.90         | Mean Reward 1.2         | Max Reward 2.0
Episode 120 | Step 21868 | Exploration rate 0.90         | Mean Reward 1.2         | Max Reward 3.0
Episode 130 | Step 23691 | Exploration rate 0.89         | Mean Reward 1.1         | Max Reward 3.0
Episode 140 | Step 25379 | Exploration rate 0.88         | Mean Reward 0.9         | Max Reward 4.0
Episode 150 | Step 27035 | Exploration rate 0.87         | Mean Reward 0.8         | Max Reward 2.0
Episode 160 | Step 29031 | Exploration rate 0.86         | Mean Reward 1.7         | Max Reward 4.0
Episode 170 | Step 30983 | Exploration rate 0.86         | Mean Reward 1.6         | Max Reward 4.0
Episode 180 | Step 32727 | Exploration rate 0.85         | Mean Reward 0.9         | Max Reward 2.0
Episode 190 | Step 34486 | Exploration rate 0.84         | Mean Reward 1.0         | Max Reward 2.0
Episode 200 | Step 36286 | Exploration rate 0.83         | Mean Reward 1.1         | Max Reward 4.0
Episode 210 | Step 38139 | Exploration rate 0.83         | Mean Reward 1.2         | Max Reward 3.0
Episode 220 | Step 39851 | Exploration rate 0.82         | Mean Reward 0.9         | Max Reward 3.0
Episode 230 | Step 41644 | Exploration rate 0.81         | Mean Reward 1.1         | Max Reward 4.0
Episode 240 | Step 43610 | Exploration rate 0.80         | Mean Reward 1.6         | Max Reward 3.0
Episode 250 | Step 45483 | Exploration rate 0.80         | Mean Reward 1.5         | Max Reward 4.0
Episode 260 | Step 47030 | Exploration rate 0.79         | Mean Reward 0.6         | Max Reward 2.0
Episode 270 | Step 48996 | Exploration rate 0.78         | Mean Reward 1.5         | Max Reward 4.0
Episode 280 | Step 50745 | Exploration rate 0.78         | Mean Reward 1.1         | Max Reward 3.0
Episode 290 | Step 52572 | Exploration rate 0.77         | Mean Reward 1.3         | Max Reward 3.0
Episode 300 | Step 54295 | Exploration rate 0.76         | Mean Reward 0.9         | Max Reward 3.0
Episode 310 | Step 56041 | Exploration rate 0.76         | Mean Reward 1.5         | Max Reward 7.0
Episode 320 | Step 57847 | Exploration rate 0.75         | Mean Reward 1.2         | Max Reward 3.0
Episode 330 | Step 59986 | Exploration rate 0.74         | Mean Reward 2.1         | Max Reward 6.0
